Descrizione Originale,Tipologia,Forma,Diametro,Diametro Nominale,Raggio,Passo,Tolleranza,Lunghezza,Angolo,Rotazione,Materiale,Rivestimento,Stato,Ubicazione,Codice,Serial Number,Fornitore,Quantità,Lavorazione,Sistema di misura,Alias,Check,Motivo Verifica
INSERTO FRESA SFERICA  WPR20 SDR RED,Inserto,,,,,,,,,Dx,,,USATO,INSERTI FRESA,,,BF,4,,,INSERTO FRESA SFERICA  WPR20 SDR RED,SFERICA RED SDR WPR20 FRESA,Manca Diametro o Discrepanza
PUNTA D4.5 TD 850 GP 0450 MDI,Punta,,no,4.5,,450.0,,,,Dx,METALLO DURO,,NUOVO,PUNTE1,,,BURZONI,2,Foratura,,PUNTA D4.5 TD 850 GP 0450 MDI,MDI GP TD,Manca Diametro o Discrepanza
INSERTO DXHT 11T308FR-27P,Inserto,,,,,,,,,Dx,,,NUOVO,INSERTI FRESA,,50477508,CERATIZIT,10,,,INSERTO DXHT 11T308FR-27P,DXHT 11T308FR 27P,Manca Diametro o Discrepanza
INSERTO FRESA XDHT 11T308FR-27PH216T,Inserto,,,,,,,,,Dx,,,NUOVO,INSERTI FRESA,BRCL00217C,50477508,CERATIZIT,16,,,INSERTO FRESA XDHT 11T308FR-27PH216T,11T308FR 27PH216T FRESA XDHT,Manca Diametro o Discrepanza
WNT FREA METALLO DURO D1 30°,,,D1,1.0,,,,,30°,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,52802103,CERATIZIT,1,,Metrico,WNT FREA METALLO DURO D1 30°,FREA WNT,Manca Tipologia/Sconosciuta
INSERTO TPGX TPGX090204,Inserto,,,,,90204.0,,,,Dx,,,NUOVO,INSERTI FRESA,BRCL000400000258,,DIAEDGE,17,,,INSERTO TPGX TPGX090204,TPGX090204 TPGX,Manca Diametro o Discrepanza
UTENSILE DA DISEGNO AIRBUS RAFF02985,,,,,,,,,,Dx,,,NUOVO,PUNTE 1.6 PANNELLI,,,DSN,1,,,UTENSILE DA DISEGNO AIRBUS RAFF02985,UTENSILE DA AIRBUS DISEGNO RAFF02985,Manca Tipologia/Sconosciuta Manca Diametro o Discrepanza
GUHRING PRTTINR D5 WN RFK,,,D5,5.0,,,,,,Dx,,,NUOVO,PETTINI,,,FIMU,1,,Metrico,GUHRING PRTTINR D5 WN RFK,RFK PRTTINR GUHRING WN,Manca Tipologia/Sconosciuta
GARANT PUNTA TASTATORE  359505,Tastatore,,,,,,,,,Dx,,,NUOVO,TASTATORI,,,HOFFMAN,2,Tastatura,,GARANT PUNTA TASTATORE  359505,GARANT PUNTA,Manca Diametro o Discrepanza
GARANT FESA METALLO DURO D2.7,,,D2.7,2.7,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,45197861085,HOFFMAN,1,,Metrico,GARANT FESA METALLO DURO D2.7,GARANT FESA,Manca Tipologia/Sconosciuta
FREESA MDI D9.64,,,D9.64,9.64,,,,,,Dx,METALLO DURO,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,1,,Metrico,FREESA MDI D9.64,MDI FREESA,Manca Tipologia/Sconosciuta
GUIDA,,,9,9.0,,,,,,Dx,,,USATO,ALESATORI,,,PEPPER,1,,,GUIDA,GUIDA,Manca Tipologia/Sconosciuta
KARNASH RIAFFILATE VARIE MISURE,,,D4,4.0,,,,,,Dx,,,RIAFFILATA,RIAFFILATE1,,,RAFF,22,,Metrico,KARNASH RIAFFILATE VARIE MISURE,VARIE KARNASH RIAFFILATE MISURE,Manca Tipologia/Sconosciuta
PUNTA TASTATORE,Tastatore,,,,,,,,,Dx,,,NUOVO,TASTATORI,BRCL00056C,,RENISHAW,2,Tastatura,,PUNTA TASTATORE,PUNTA,Manca Diametro o Discrepanza
PUNTA TASTATORE,Tastatore,,,,,,,,,Dx,,,NUOVO,TASTATORI,BRCL01198C,,RENISHAW,2,Tastatura,,PUNTA TASTATORE,PUNTA,Manca Diametro o Discrepanza
PUNTA TASTATORE,Tastatore,,,,,,,,,Dx,,,NUOVO,TASTATORI,,,RENISHAW,4,Tastatura,,PUNTA TASTATORE,PUNTA,Manca Diametro o Discrepanza
SET BRUGOLE MONTAGGIO,,,,,,,,,,Dx,,,NUOVO,TASTATORI,,,RENISHAW,2,,,SET BRUGOLE MONTAGGIO,SET MONTAGGIO BRUGOLE,Manca Tipologia/Sconosciuta Manca Diametro o Discrepanza
RICAMBI TASTATORI,,,,,,,,,,Dx,,,NUOVO,TASTATORI,,,RENISHAW,3,,,RICAMBI TASTATORI,TASTATORI RICAMBI,Manca Tipologia/Sconosciuta Manca Diametro o Discrepanza
FESA METALLO DURO D2X15,,,D2,2.0,,15.0,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,HM84/20,RIME,1,,Metrico,FESA METALLO DURO D2X15,FESA D2X15,Manca Tipologia/Sconosciuta
PUNTA TASTATORE 00163CN03,Tastatore,,,,,,,,,Dx,,,NUOVO,TASTATORI,BRCL000400000603,,TSCHORN,1,Tastatura,,PUNTA TASTATORE 00163CN03,PUNTA 00163CN03,Manca Diametro o Discrepanza
PUNTA TASTATORE,Tastatore,,,,,,,,,Dx,,,NUOVO,TASTATORI,BRCL01201C,,TSCHORN,3,Tastatura,,PUNTA TASTATORE,PUNTA,Manca Diametro o Discrepanza
KARNASCH D7.2,,,D7.2,7.2,,,,,,Dx,,,NUOVO,PUNTE3,,,RAFF,1,,Metrico,KARNASCH D7.2,KARNASCH,Manca Tipologia/Sconosciuta
PUNTA PER SVASATORE ALI 113,Svasatore,,,,,,,,,Dx,,,USATO,SMUSSATORI,,,,1,,,PUNTA PER SVASATORE ALI 113,PER ALI PUNTA,Manca Diametro o Discrepanza
SMUSSATORE D6.3,Smussatore,,no,6.3,,,,,,Dx,,,NUOVO,SMUSSATORI,,,BURZONI,2,,,SMUSSATORE D6.3,,Manca Diametro o Discrepanza
GUIDA O/F D6.5,,,D6.5,6.5,,,,,,Dx,,,NUOVO,POLLEDRI,,10.16.065,POLLEDRI,1,,Metrico,GUIDA O/F D6.5,GUIDA F O,Manca Tipologia/Sconosciuta
LAMATORE ALI DALLARA,Lamatore,,,,,,,,,Dx,,,USATO,POLLEDRI,,PSAG-10-7.9-L7,,1,Lamatura,,LAMATORE ALI DALLARA,DALLARA ALI,Manca Diametro o Discrepanza
OF 12.5,,,D12.5,12.5,,,,,,Dx,,,NUOVO,POLLEDRI,,,GRANLUND,1,,Metrico,OF 12.5,OF,Manca Tipologia/Sconosciuta
HOLEX PETTINE AMERICANO,Fresa,Pettine,,,,,,,,Dx,,,NUOVO,PRTTINI,,139707 G1/2,HOFFMAN,1,Fresatura,,HOLEX PETTINE AMERICANO,AMERICANO HOLEX,Manca Diametro o Discrepanza
SMUSATORE D20 100°,,,D20,20.0,,,,,100°,Dx,,,NUOVO,SMUSSATORI,BRCL01352C,02985,RAFF,1,,Metrico,SMUSATORE D20 100°,SMUSATORE,Manca Tipologia/Sconosciuta
INSERTO TELAIO IR27 STAMPATO,Inserto,,,,,,,,,Dx,,,NUOVO,ALESATORI,,,INTERNO,1,,,INSERTO TELAIO IR27 STAMPATO,STAMPATO TELAIO,Manca Diametro o Discrepanza
ATTREZZI TELAIO DUCATI,,,VARIE,,,,,,,Dx,,,NUOVO,PUNTE1.6 PANNELLI,,,INTERNO,6,,,ATTREZZI TELAIO DUCATI,ATTREZZI TELAIO DUCATI,Manca Tipologia/Sconosciuta
PUNTE ELICA VHM DIAMANTATE D6.5 L72X31,,,D6.5,6.5,,31.0,,,,Dx,METALLO DURO,Diamante,NUOVO,PUNTE3,BRCL01403,7311800650,SPPW,2,,Metrico,PUNTE ELICA VHM DIAMANTATE D6.5 L72X31,PUNTE VHM ELICA DIAMANTATE L72X31,Manca Tipologia/Sconosciuta
PUNTE D9 DIAMANTATE,,,D9,9.0,,,,,,Dx,,Diamante,NUOVO,PUNTE3,BRCL01405,7311800900,SPPW,2,,Metrico,PUNTE D9 DIAMANTATE,PUNTE DIAMANTATE,Manca Tipologia/Sconosciuta
FERSA METALLO DURO D10  X 22.6,,,D10,10.0,,22.6,,,,Dx,METALLO DURO,,USATO,BELOTTIC1,,,BURZONI,1,,Metrico,FERSA METALLO DURO D10  X 22.6,X FERSA,Manca Tipologia/Sconosciuta
FRESE SPECIALI FRANCO,,,VARIE,,,,,,,Dx,,,USATO,BELOTTIC1,,,FRANCO,3,,,FRESE SPECIALI FRANCO,FRESE SPECIALI FRANCO,Manca Tipologia/Sconosciuta
PUNTINE PER TRAPANO D1.5,,,D1.5,1.5,,,,,,Dx,,,NUOVO,BELOTTIC3,,,,8,,Metrico,PUNTINE PER TRAPANO D1.5,PER PUNTINE TRAPANO,Manca Tipologia/Sconosciuta
PUNTA METALLO DURO D9.5,Punta,,no,9.5,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,,1,Foratura,,PUNTA METALLO DURO D9.5,,Manca Diametro o Discrepanza
FRESA SPECIALE DIAMANTATA PIATTA,Fresa,Candela,,,,,,,,Dx,,Diamante,USATO,BELOTTIC4,,,,1,Fresatura,,FRESA SPECIALE DIAMANTATA PIATTA,DIAMANTATA SPECIALE PIATTA,Manca Diametro o Discrepanza
MASCIO X HELICOIL 10/32 UNF,,,10/32,7.9375,,,,,,Dx,,,USATO,BELOTTIC5,,910/17,,1,,Americano,MASCIO X HELICOIL 10/32 UNF,X UNF HELICOIL MASCIO,Manca Tipologia/Sconosciuta
GUEHRING M12 PM HSSE,,,M12,12.0,,,,,,Dx,HSSE,,USATO,BELOTTIC5,,,RAFF,1,,Metrico,GUEHRING M12 PM HSSE,PM GUEHRING,Manca Tipologia/Sconosciuta
GUEHRING M8 6HX HSSE,,,M8,8.0,,,6HX,,,Dx,HSSE,,USATO,BELOTTIC5,,,RAFF,1,,Metrico,GUEHRING M8 6HX HSSE,GUEHRING,Manca Tipologia/Sconosciuta
GUEHRING MJ8X1.25 4HX,,,M8,8.0,,1.25,4HX,,,Dx,,,USATO,BELOTTIC5,,16033147,RAFF,1,,Metrico,GUEHRING MJ8X1.25 4HX,GUEHRING MJ8X1,Manca Tipologia/Sconosciuta
MASCIO EG M10 KP20,,,M10,10.0,,,,,,Dx,,,USATO,BELOTTIC5,,T200 EG M10 KP20,BURZONI,1,,EG,MASCIO EG M10 KP20,EG MASCIO,Manca Tipologia/Sconosciuta
FRESA SPECIALE RAFF NUDA,Fresa,Candela,,,,,,,,Dx,,Nuda,USATO,BELOTTIC8,,,RAFF,1,Fresatura,,FRESA SPECIALE RAFF NUDA,RAFF SPECIALE,Manca Diametro o Discrepanza
KARNASCH D8 L2 NON RIVESTITE,,,D8,8.0,,,,,,Dx,,,USATO,BELOTTIC8,,29 1753 812,RAFF,1,,Metrico,KARNASCH D8 L2 NON RIVESTITE,NON KARNASCH RIVESTITE,Manca Tipologia/Sconosciuta
"KARNASCH D6 L2(X3 L30, X1 L50)",,,D6,6.0,,3.0,,,,Dx,,,USATO,BELOTTIC8,,29 1751 204,CERATIZIT,4,,Metrico,"KARNASCH D6 L2(X3 L30, X1 L50)",KARNASCH,Manca Tipologia/Sconosciuta
KARNASCH D6 L2 NON RIVESTITE,,,D6,6.0,,,,,,Dx,,,USATO,BELOTTIC8,,29 1753 202,CERATIZIT,2,,Metrico,KARNASCH D6 L2 NON RIVESTITE,NON KARNASCH RIVESTITE,Manca Tipologia/Sconosciuta
TUBO PER LUBROREFRIGERANTE PER MANDRINO,,,,,,,,,,Dx,,,NUOVO,MARCO,,309880_63,HOFFMAN,10,,,TUBO PER LUBROREFRIGERANTE PER MANDRINO,PER TUBO MANDRINO LUBROREFRIGERANTE,Manca Tipologia/Sconosciuta Manca Diametro o Discrepanza
KARNASH D6.6 L2,,,D6.6,6.6,,,,,,Dx,,,USATO,EXTREMA1,,"29,0120 506",RAFF,1,,Metrico,KARNASH D6.6 L2,KARNASH,Manca Tipologia/Sconosciuta
FRESA  HSS D31,Fresa,Candela,no,31.0,,,,,,Dx,HSS,,USATO,EXTREMA2,,,,1,Fresatura,,FRESA  HSS D31,,Manca Diametro o Discrepanza
OSG WONDER BARENO AD0-5D,Alesatore,,,,,,,,,Dx,,,USATO,EXTREMA2,,,RAFF,1,,,OSG WONDER BARENO AD0-5D,5D WONDER OSG BARENO,Manca Diametro o Discrepanza
PUNTALINO DI RICAMBIO TASTATORE,Tastatore,,,,,,,,,Dx,,,NUOVO,EXTREMA4,,983.31.00,TESI,1,Tastatura,,PUNTALINO DI RICAMBIO TASTATORE,RICAMBIO PUNTALINO DI,Manca Diametro o Discrepanza
INSERTI FRESA JMS02,Inserto,,,,,,,,,Dx,,,NUOVO,INSERTI FRESE,BRCL01141C,JMS02-98RR04-XC35,JONGEN,10,,,INSERTI FRESA JMS02,INSERTI JMS02 FRESA,Manca Diametro o Discrepanza
INSERTI FRESA JMS02,Inserto,,,,,,,,,Dx,,,NUOVO,INSERTI FRESE,BRCL01111C,JMS02-98LR04-XC35,JONGEN,10,,,INSERTI FRESA JMS02,INSERTI JMS02 FRESA,Manca Diametro o Discrepanza
INSERTI FRESA H15,Inserto,,,,,,H15,,,Dx,,,NUOVO,INSERTI FRESE,,5885939 321,SECO,3,,,INSERTI FRESA H15,INSERTI FRESA,Manca Diametro o Discrepanza
